number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lora_alpha,params_lora_dropout,params_lora_r,params_lr,params_weight_decay,state
0,1.393418550491333,2026-07-30 19:16:36.112669,2026-07-30 23:08:44.483123,0 days 03:52:08.370454,16,64,0.1,8,0.0001535528683888687,0.08324426408004218,COMPLETE
1,1.32822585105896,2026-07-30 23:08:44.847914,2026-07-31 03:34:32.570574,0 days 04:25:47.722660,16,128,0.1,32,0.00024082072654535438,0.0046450412719997725,COMPLETE
2,1.367993712425232,2026-07-31 03:34:32.900364,2026-07-31 06:36:43.603313,0 days 03:02:10.702949,16,64,0.0,8,0.0009021655603568127,0.031171107608941095,COMPLETE
3,1.3573042154312134,2026-07-31 06:36:43.933936,2026-07-31 09:20:08.013795,0 days 02:43:24.079859,16,128,0.1,8,0.0005098483969585747,0.035675332669358926,COMPLETE
4,1.45264732837677,2026-07-31 09:20:08.334606,2026-07-31 12:28:13.388557,0 days 03:08:05.053951,4,16,0.05,8,6.251188975400558e-05,0.08631034258755936,COMPLETE
5,1.4823486804962158,2026-07-31 12:28:13.701035,2026-07-31 12:34:09.745523,0 days 00:05:56.044488,16,64,0.0,32,0.00013244734603681335,0.042754101835854964,PRUNED
6,2.298666477203369,2026-07-31 12:34:10.230205,2026-07-31 12:41:03.832506,0 days 00:06:53.602301,16,16,0.05,16,0.00012822023397146835,0.06334037565104235,PRUNED
7,1.209730863571167,2026-07-31 12:41:04.226132,2026-07-31 12:46:23.592547,0 days 00:05:19.366415,12,128,0.05,16,0.000251576713283516,0.022210781047073025,PRUNED
8,1.9387180805206299,2026-07-31 12:46:23.970383,2026-07-31 12:50:14.994323,0 days 00:03:51.023940,8,32,0.05,32,0.0002365550177813243,0.005147875124998935,PRUNED
9,1.447343111038208,2026-07-31 12:50:15.365731,2026-07-31 12:57:19.176132,0 days 00:07:03.810401,16,32,0.0,8,0.00021665201216480946,0.0835302495589238,PRUNED
10,1.8892381191253662,2026-07-31 12:57:19.527631,2026-07-31 13:04:09.605301,0 days 00:06:50.077670,12,128,0.1,64,5.756420432887466e-05,0.0020983294854856863,PRUNED
11,1.2044315338134766,2026-07-31 13:04:09.956363,2026-07-31 13:08:59.792191,0 days 00:04:49.835828,8,128,0.1,32,0.0005483741180093255,0.052947944902732504,PRUNED
12,1.2633081674575806,2026-07-31 13:09:00.160504,2026-07-31 13:11:49.941462,0 days 00:02:49.780958,4,128,0.1,64,0.0004306760460636483,0.020231276736871525,PRUNED
13,,2026-07-31 13:11:50.286593,2026-07-31 13:15:31.978008,0 days 00:03:41.691415,16,128,0.1,32,0.00044932679279085683,0.016478948581606277,PRUNED
14,,2026-07-31 13:15:32.340808,2026-07-31 13:19:12.088160,0 days 00:03:39.747352,16,128,0.1,8,0.0007803518527247969,0.03615892524421482,PRUNED
