experiment,Checkpoint,overall_acc,sem-sim,total,problem-rows,correct,null
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c10,0.0,0.4883,66,0,0,66
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c20,0.0,0.6385,66,0,0,66
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c30,1.52,0.5521,66,0,1,65
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c40,7.58,0.5492,66,0,5,61
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c50,0.0,0.6332,66,0,0,66
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c60,4.55,0.6156,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c70,1.52,0.6392,66,0,1,65
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c80,6.06,0.5805,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c90,6.06,0.6171,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c100,4.55,0.5994,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c110,4.55,0.6412,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c120,6.06,0.6313,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c130,4.55,0.6134,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c140,4.62,0.618,65,1,3,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c150,7.58,0.6222,66,0,5,61
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c160,3.03,0.6114,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c170,3.03,0.6077,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c180,3.03,0.6273,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c190,6.06,0.598,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c200,4.62,0.6009,65,1,3,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c210,4.55,0.6067,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c220,6.06,0.6092,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c230,4.62,0.6103,65,1,3,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c240,6.06,0.6109,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c250,4.55,0.6139,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c260,4.55,0.6057,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c270,6.15,0.6077,65,1,4,61
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c280,6.15,0.5947,65,1,4,61
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c290,4.55,0.6106,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c300,4.55,0.5918,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c310,3.03,0.6062,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c320,4.55,0.6053,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c330,4.55,0.6151,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c340,3.03,0.6131,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c350,4.55,0.604,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c360,4.55,0.5991,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c370,4.62,0.5867,65,1,3,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c380,3.03,0.5984,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c390,6.06,0.5908,66,0,4,62
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c400,4.55,0.6098,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c410,4.55,0.6094,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c420,4.55,0.6108,66,0,3,63
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c430,3.03,0.6009,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c440,3.03,0.6015,66,0,2,64
Vasantatalika-Overfit,unsloth_phi4_FT_vasant-c450,3.03,0.6004,66,0,2,64
