Checkpoint,overall-half,overall-full,sem-sim,total-rows,problem-rows,correct,null
10,0.0,0.0,0.4883,66,0,0,66
20,6.06,0.0,0.6385,66,0,0,66
30,7.58,1.52,0.5521,66,0,1,65
40,10.61,7.58,0.5492,66,0,5,61
50,6.06,0.0,0.6332,66,0,0,66
60,13.64,4.55,0.6156,66,0,3,63
70,7.58,1.52,0.6392,66,0,1,65
80,21.21,6.06,0.5805,66,0,4,62
90,10.61,6.06,0.6171,66,0,4,62
100,21.21,4.55,0.5994,66,0,3,63
110,18.18,4.55,0.6412,66,0,3,63
120,15.15,6.06,0.6313,66,0,4,62
130,18.18,4.55,0.6134,66,0,3,63
140,15.38,4.62,0.618,66,1,3,62
150,12.12,7.58,0.6222,66,0,5,61
160,21.21,3.03,0.6114,66,0,2,64
170,13.64,3.03,0.6077,66,0,2,64
180,13.64,3.03,0.6273,66,0,2,64
190,15.15,6.06,0.598,66,0,4,62
200,15.38,4.62,0.6009,66,1,3,62
210,21.21,4.55,0.6067,66,0,3,63
220,15.15,6.06,0.6092,66,0,4,62
230,9.23,4.62,0.6103,66,1,3,62
240,16.67,6.06,0.6109,66,0,4,62
250,15.15,4.55,0.6139,66,0,3,63
260,13.64,4.55,0.6057,66,0,3,63
270,15.38,6.15,0.6077,66,1,4,61
280,16.92,6.15,0.5947,66,1,4,61
290,10.61,4.55,0.6106,66,0,3,63
300,10.61,4.55,0.5918,66,0,3,63
310,9.09,3.03,0.6062,66,0,2,64
320,13.64,4.55,0.6053,66,0,3,63
330,13.64,4.55,0.6151,66,0,3,63
340,10.61,3.03,0.6131,66,0,2,64
350,15.15,4.55,0.604,66,0,3,63
360,10.61,4.55,0.5991,66,0,3,63
370,10.77,4.62,0.5867,66,1,3,62
380,9.09,3.03,0.5984,66,0,2,64
390,12.12,6.06,0.5908,66,0,4,62
400,15.15,4.55,0.6098,66,0,3,63
410,9.09,4.55,0.6094,66,0,3,63
420,12.12,4.55,0.6108,66,0,3,63
430,9.09,3.03,0.6009,66,0,2,64
440,10.61,3.03,0.6015,66,0,2,64
450,13.64,3.03,0.6004,66,0,2,64
